scrap_id,folder,scrap_area_in2,fixed_main_triangles,fixed_main_recovery_pct,fixed_anti_triangles,fixed_anti_recovery_pct,best_orientation_triangles,best_orientation_recovery_pct,greedy_triangles,greedy_recovery_pct
audrey_scrap1_Polygon-13,audrey,18.5181,18,48.6012,18,48.6012,18,48.6012,18,48.6012
audrey_scrap1_Polygon-8,audrey,81.7477,149,91.1341,148,90.5225,149,91.1341,149,91.1341
audrey_scrap5_Polygon-12,audrey,6.9867,6,42.9388,6,42.9388,6,42.9388,6,42.9388
audrey_scrap5_Polygon-20,audrey,77.9533,96,61.5753,94,60.2925,96,61.5753,96,61.5753
audrey_scrap5_Polygon-10,audrey,4.1798,0,0.0000,0,0.0000,0,0.0000,0,0.0000
audrey_scrap5_Polygon-5,audrey,9.6188,12,62.3779,12,62.3779,12,62.3779,12,62.3779
audrey_scrap5_Polygon-17,audrey,14.5220,14,48.2026,14,48.2026,14,48.2026,14,48.2026
audrey_scrap5_Polygon-16,audrey,6.8117,6,44.0418,6,44.0418,6,44.0418,6,44.0418
audrey_scrap5_Polygon-18,audrey,17.3382,28,80.7465,28,80.7465,28,80.7465,28,80.7465
audrey_scrap5_Polygon-9,audrey,59.8580,94,78.5191,94,78.5191,94,78.5191,94,78.5191
audrey_scrap5_Polygon-3,audrey,7.9730,8,50.1694,8,50.1694,8,50.1694,8,50.1694
audrey_scrap5_Polygon-13,audrey,7.1133,6,42.1745,6,42.1745,6,42.1745,6,42.1745
audrey_scrap5_Polygon-19,audrey,7.2139,6,41.5862,6,41.5862,6,41.5862,6,41.5862
audrey_scrap5_Polygon-6,audrey,8.6021,12,69.7506,12,69.7506,12,69.7506,12,69.7506
audrey_scrap5_Polygon-14,audrey,7.0900,6,42.3130,6,42.3130,6,42.3130,6,42.3130
audrey_scrap5_Polygon-7,audrey,9.3366,11,58.9081,11,58.9081,11,58.9081,11,58.9081
audrey_scrap5_Polygon-2,audrey,9.0523,8,44.1878,8,44.1878,8,44.1878,8,44.1878
audrey_scrap5_Polygon-8,audrey,8.6793,10,57.6081,11,63.3689,11,63.3689,11,63.3689
audrey_scrap5_Polygon-21,audrey,34.5861,40,57.8267,41,59.2724,41,59.2724,41,59.2724
audrey_scrap5_Polygon-15,audrey,21.8117,35,80.2322,34,77.9398,35,80.2322,35,80.2322
audrey_scrap5_Polygon-4,audrey,6.8015,7,51.4589,6,44.1077,7,51.4589,7,51.4589
audrey_scrap5_Polygon-11,audrey,7.5435,6,39.7694,6,39.7694,6,39.7694,6,39.7694
audrey_scrap3_Polygon-18,audrey,11.2373,10,44.4948,10,44.4948,10,44.4948,10,44.4948
audrey_scrap3_Polygon-2,audrey,34.4067,50,72.6602,50,72.6602,50,72.6602,50,72.6602
