scrap_id,folder,scrap_area_in2,isosceles_triangles,isosceles_recovery_pct,306090_triangles,306090_recovery_pct,equilateral_triangles,equilateral_recovery_pct
fabscrap_scraps7_Polygon-2,fabscrap,15.13,20,66.10,16,52.88,18,59.49
fabscrap_scraps8_Polygon-5,fabscrap,39.95,71,88.86,62,77.59,60,75.09
fabscrap_scraps8_Polygon-3,fabscrap,2.60,2,38.54,2,38.54,1,19.27
fabscrap_scraps8_Polygon-2,fabscrap,59.10,99,83.76,103,87.14,98,82.91
fabscrap_scraps8_Polygon-6,fabscrap,118.06,215,91.05,212,89.78,205,86.82
fabscrap_scraps8_Polygon-4,fabscrap,2.43,0,0.00,2,41.22,0,0.00
fabscrap_scraps10_Polygon-6,fabscrap,2.54,0,0.00,2,39.38,0,0.00
fabscrap_scraps10_Polygon-4,fabscrap,5.42,8,73.82,4,36.91,6,55.37
fabscrap_scraps10_Polygon-3,fabscrap,4.19,3,35.79,4,47.72,3,35.79
fabscrap_scraps10_Polygon-10,fabscrap,37.41,58,77.53,60,80.20,59,78.86
fabscrap_scraps10_Polygon-7,fabscrap,19.48,30,77.00,29,74.44,25,64.17
fabscrap_scraps10_Polygon-8,fabscrap,15.85,21,66.24,14,44.16,20,63.08
fabscrap_scraps10_Polygon-9,fabscrap,3.06,0,0.00,0,0.00,3,49.06
fabscrap_scraps10_Polygon-2,fabscrap,109.50,187,85.39,190,86.76,182,83.11
fabscrap_scraps10_Polygon-5,fabscrap,5.58,8,71.71,4,35.85,6,53.78
fabscrap_scraps5_Polygon-7,fabscrap,3.98,2,25.11,4,50.22,2,25.11
fabscrap_scraps5_Polygon-5,fabscrap,4.82,4,41.47,4,41.47,4,41.47
fabscrap_scraps5_Polygon-6,fabscrap,4.26,4,46.93,4,46.93,2,23.47
fabscrap_scraps5_Polygon-8,fabscrap,30.86,48,77.77,47,76.15,42,68.05
fabscrap_scraps5_Polygon-2,fabscrap,15.81,24,75.92,24,75.92,24,75.92
fabscrap_scraps5_Polygon-3,fabscrap,4.93,4,40.60,6,60.90,3,30.45
fabscrap_scraps5_Polygon-9,fabscrap,21.15,25,59.09,36,85.10,34,80.37
fabscrap_scraps5_Polygon-4,fabscrap,4.80,7,72.97,4,41.70,5,52.12
fabscrap_scraps6_Polygon-4,fabscrap,4.51,2,22.17,4,44.34,4,44.34
fabscrap_scraps6_Polygon-3,fabscrap,5.30,4,37.74,4,37.74,4,37.74
fabscrap_scraps6_Polygon-2,fabscrap,5.26,8,76.03,4,38.02,6,57.02
fabscrap_scraps9_Polygon-2,fabscrap,125.76,234,93.03,240,95.42,224,89.06
fabscrap_scraps9_Polygon-3,fabscrap,96.65,158,81.73,164,84.84,151,78.11
fabscrap_scraps9_Polygon-4,fabscrap,105.37,180,85.42,191,90.64,184,87.31
bag1_scrap1_Polygon-2,bag1,96.92,161,83.06,160,82.54,168,86.67
bag1_scrap1_Polygon-4,bag1,135.62,244,89.96,218,80.37,228,84.06
bag1_scrap1_Polygon-3,bag1,120.43,211,87.60,182,75.56,205,85.11
bag1_scrap1_Polygon-5,bag1,72.64,119,81.91,118,81.22,116,79.84
bag1_scrap4_Polygon-2,bag1,26.20,41,78.25,43,82.07,38,72.53
bag1_scrap4_Polygon-7,bag1,162.91,275,84.40,275,84.40,256,78.57
bag1_scrap4_Polygon-3,bag1,60.55,104,85.88,102,84.23,92,75.97
bag1_scrap4_Polygon-5,bag1,36.52,60,82.15,63,86.26,54,73.94
bag1_scrap4_Polygon-4,bag1,23.43,32,68.29,36,76.83,31,66.16
bag1_scrap4_Polygon-6,bag1,32.26,49,75.95,44,68.20,47,72.85
bag1_scrap3_Polygon-2,bag1,27.20,40,73.52,42,77.20,37,68.01
bag1_scrap3_Polygon-4,bag1,200.27,345,86.13,332,82.89,345,86.13
bag1_scrap3_Polygon-5,bag1,47.87,72,75.20,83,86.69,70,73.11
bag1_scrap3_Polygon-3,bag1,134.28,228,84.90,220,81.92,228,84.90
bag1_scrap9_Polygon-5,bag1,58.78,93,79.11,62,52.74,88,74.86
bag1_scrap9_Polygon-4,bag1,80.44,124,77.08,123,76.46,131,81.43
bag1_scrap9_Polygon-3,bag1,160.44,240,74.79,218,67.94,243,75.73
bag1_scrap9_Polygon-2,bag1,168.95,254,75.17,234,69.25,263,77.83
bag1_scrap5_Polygon-5,bag1,28.40,50,88.03,45,79.23,40,70.42
bag1_scrap5_Polygon-3,bag1,51.42,90,87.52,81,78.77,80,77.80
bag1_scrap5_Polygon-6,bag1,38.84,56,72.10,72,92.70,56,72.10
bag1_scrap5_Polygon-7,bag1,154.45,275,89.02,260,84.17,270,87.40
bag1_scrap5_Polygon-2,bag1,57.11,99,86.68,101,88.43,88,77.05
bag1_scrap5_Polygon-4,bag1,28.46,50,87.85,43,75.55,40,70.28
bag1_scrap8_Polygon-3,bag1,159.88,237,74.12,206,64.42,237,74.12
bag1_scrap8_Polygon-4,bag1,160.97,243,75.48,210,65.23,240,74.55
bag1_scrap8_Polygon-2,bag1,92.06,130,70.61,147,79.84,140,76.04
bag1_scrap8_Polygon-5,bag1,136.92,220,80.34,176,64.27,222,81.07
bag1_scrap2_Polygon-2,bag1,158.80,239,75.25,214,67.38,248,78.09
bag1_scrap2_Polygon-6,bag1,156.27,232,74.23,208,66.55,240,76.79
bag1_scrap2_Polygon-5,bag1,34.96,57,81.53,60,85.82,52,74.38
bag1_scrap2_Polygon-3,bag1,98.29,156,79.36,150,76.31,161,81.90
bag1_scrap2_Polygon-4,bag1,44.65,75,83.98,66,73.90,70,78.38
bag1_scrap6_Polygon-5,bag1,187.29,325,86.76,324,86.50,300,80.09
bag1_scrap6_Polygon-2,bag1,159.39,272,85.33,270,84.70,248,77.80
bag1_scrap6_Polygon-4,bag1,88.88,152,85.51,155,87.19,143,80.44
bag1_scrap6_Polygon-3,bag1,43.94,69,78.51,72,81.92,66,75.10
bag1_scrap7_Polygon-3,bag1,107.64,192,89.18,192,89.18,176,81.75
bag1_scrap7_Polygon-6,bag1,62.32,103,82.64,90,72.21,105,84.25
bag1_scrap7_Polygon-2,bag1,151.59,248,81.80,252,83.12,271,89.39
bag1_scrap7_Polygon-4,bag1,36.10,56,77.56,36,49.86,50,69.25
bag1_scrap7_Polygon-5,bag1,33.28,56,84.15,54,81.14,48,72.13
bag1_scrap7_Polygon-7,bag1,79.36,126,79.39,112,70.57,116,73.09
bag1_scrap10_Polygon-3,bag1,97.29,162,83.26,157,80.69,161,82.74
bag1_scrap10_Polygon-4,bag1,181.27,288,79.44,266,73.37,292,80.54
bag1_scrap10_Polygon-2,bag1,118.38,200,84.47,208,87.85,201,84.90
