Scrap Type,Scrap ID,Original Area (in²),Triangle Size (in),Scale (px/in),Accepted Triangles,Recovered Area (in²),Theoretical Area (in²),Recovery %
bag4,bag4_scrap6_Polygon-6,34.73,1.00,78.00,56,28.00,28.00,80.62
bag4,bag4_scrap7_Polygon-3,91.00,1.00,84.00,149,74.50,74.50,81.87
bag4,bag4_scrap7_Polygon-2,171.33,1.00,84.00,302,151.00,151.00,88.13
bag4,bag4_scrap7_Polygon-4,72.49,1.00,84.00,120,60.00,60.00,82.77
bag4,bag4_scrap7_Polygon-5,228.26,1.00,84.00,399,199.50,199.50,87.40
bag4,bag4_scrap9_Polygon-3,205.48,1.00,99.00,340,170.00,170.00,82.73
bag4,bag4_scrap9_Polygon-2,150.83,1.00,99.00,263,131.50,131.50,87.18
bag4,bag4_scrap8_Polygon-2,507.45,1.00,86.00,926,463.00,463.00,91.24
etsybag,etsybag_scrap10_Polygon-11,6.38,1.00,98.00,8,4.00,4.00,62.66
etsybag,etsybag_scrap10_Polygon-22,6.35,1.00,98.00,8,4.00,4.00,62.94
etsybag,etsybag_scrap10_Polygon-5,5.69,1.00,98.00,8,4.00,4.00,70.30
etsybag,etsybag_scrap10_Polygon-14,5.99,1.00,98.00,8,4.00,4.00,66.83
etsybag,etsybag_scrap10_Polygon-19,11.67,1.00,98.00,16,8.00,8.00,68.57
etsybag,etsybag_scrap10_Polygon-10,6.21,1.00,98.00,8,4.00,4.00,64.40
etsybag,etsybag_scrap10_Polygon-18,11.31,1.00,98.00,16,8.00,8.00,70.73
etsybag,etsybag_scrap10_Polygon-9,5.33,1.00,98.00,7,3.50,3.50,65.68
etsybag,etsybag_scrap10_Polygon-28,6.07,1.00,98.00,8,4.00,4.00,65.87
etsybag,etsybag_scrap10_Polygon-3,6.47,1.00,98.00,8,4.00,4.00,61.78
etsybag,etsybag_scrap10_Polygon-24,6.36,1.00,98.00,8,4.00,4.00,62.86
etsybag,etsybag_scrap10_Polygon-27,6.13,1.00,98.00,8,4.00,4.00,65.30
etsybag,etsybag_scrap10_Polygon-32,9.17,1.00,98.00,12,6.00,6.00,65.40
etsybag,etsybag_scrap10_Polygon-17,6.52,1.00,98.00,8,4.00,4.00,61.35
etsybag,etsybag_scrap10_Polygon-21,6.20,1.00,98.00,8,4.00,4.00,64.54
etsybag,etsybag_scrap10_Polygon-25,6.27,1.00,98.00,8,4.00,4.00,63.76
etsybag,etsybag_scrap10_Polygon-15,5.93,1.00,98.00,8,4.00,4.00,67.48
etsybag,etsybag_scrap10_Polygon-12,5.94,1.00,98.00,8,4.00,4.00,67.32
etsybag,etsybag_scrap10_Polygon-4,6.59,1.00,98.00,8,4.00,4.00,60.70
etsybag,etsybag_scrap10_Polygon-2,5.73,1.00,98.00,8,4.00,4.00,69.84
etsybag,etsybag_scrap10_Polygon-8,5.90,1.00,98.00,8,4.00,4.00,67.81
etsybag,etsybag_scrap10_Polygon-6,5.82,1.00,98.00,8,4.00,4.00,68.70
etsybag,etsybag_scrap10_Polygon-30,5.96,1.00,98.00,8,4.00,4.00,67.09
etsybag,etsybag_scrap10_Polygon-20,5.86,1.00,98.00,8,4.00,4.00,68.25
etsybag,etsybag_scrap10_Polygon-23,6.27,1.00,98.00,8,4.00,4.00,63.75
etsybag,etsybag_scrap10_Polygon-7,5.80,1.00,98.00,8,4.00,4.00,68.99
etsybag,etsybag_scrap10_Polygon-31,9.36,1.00,98.00,11,5.50,5.50,58.77
etsybag,etsybag_scrap10_Polygon-13,5.90,1.00,98.00,8,4.00,4.00,67.75
etsybag,etsybag_scrap10_Polygon-16,6.31,1.00,98.00,8,4.00,4.00,63.34
etsybag,etsybag_scrap10_Polygon-29,6.91,1.00,98.00,8,4.00,4.00,57.91
etsybag,etsybag_scrap10_Polygon-26,5.89,1.00,98.00,8,4.00,4.00,67.94
etsybag,etsybag_scrap1_Polygon-2,6.42,1.00,113.00,8,4.00,4.00,62.29
etsybag,etsybag_scrap1_Polygon-7,25.43,1.00,113.00,40,20.00,20.00,78.65
etsybag,etsybag_scrap1_Polygon-4,6.20,1.00,113.00,8,4.00,4.00,64.54
etsybag,etsybag_scrap1_Polygon-6,6.32,1.00,113.00,8,4.00,4.00,63.33
etsybag,etsybag_scrap1_Polygon-3,12.61,1.00,113.00,16,8.00,8.00,63.45
etsybag,etsybag_scrap1_Polygon-5,6.02,1.00,113.00,8,4.00,4.00,66.45
etsybag,etsybag_scrap1_Polygon-8,15.01,1.00,113.00,15,7.50,7.50,49.95
etsybag,etsybag_scrap4_Polygon-2,195.15,1.00,76.00,345,172.50,172.50,88.40
etsybag,etsybag_scrap4_Polygon-3,53.05,1.00,76.00,87,43.50,43.50,82.00
etsybag,etsybag_scrap4_Polygon-5,152.26,1.00,76.00,240,120.00,120.00,78.81
etsybag,etsybag_scrap4_Polygon-4,147.23,1.00,76.00,229,114.50,114.50,77.77
etsybag,etsybag_scrap7_Polygon-8,59.71,1.00,99.00,101,50.50,50.50,84.58
etsybag,etsybag_scrap7_Polygon-3,39.91,1.00,99.00,64,32.00,32.00,80.18
etsybag,etsybag_scrap7_Polygon-6,44.69,1.00,99.00,72,36.00,36.00,80.55
etsybag,etsybag_scrap7_Polygon-2,5.80,1.00,99.00,8,4.00,4.00,68.94
etsybag,etsybag_scrap7_Polygon-4,12.83,1.00,99.00,16,8.00,8.00,62.36
etsybag,etsybag_scrap7_Polygon-5,76.54,1.00,99.00,135,67.50,67.50,88.19
etsybag,etsybag_scrap7_Polygon-7,41.08,1.00,99.00,64,32.00,32.00,77.90
etsybag,etsybag_scrap3_Polygon-2,34.08,1.00,97.00,38,19.00,19.00,55.74
etsybag,etsybag_scrap3_Polygon-4,44.81,1.00,97.00,70,35.00,35.00,78.11
etsybag,etsybag_scrap3_Polygon-5,33.35,1.00,97.00,51,25.50,25.50,76.46
etsybag,etsybag_scrap3_Polygon-6,21.32,1.00,97.00,30,15.00,15.00,70.36
etsybag,etsybag_scrap3_Polygon-7,78.03,1.00,97.00,138,69.00,69.00,88.43
etsybag,etsybag_scrap3_Polygon-3,41.33,1.00,97.00,60,30.00,30.00,72.58
etsybag,etsybag_scrap8_Polygon-6,24.91,1.00,104.00,32,16.00,16.00,64.23
etsybag,etsybag_scrap8_Polygon-9,25.27,1.00,104.00,32,16.00,16.00,63.32
etsybag,etsybag_scrap8_Polygon-3,25.55,1.00,104.00,33,16.50,16.50,64.58
etsybag,etsybag_scrap8_Polygon-7,25.68,1.00,104.00,32,16.00,16.00,62.30
etsybag,etsybag_scrap8_Polygon-4,26.64,1.00,104.00,50,25.00,25.00,93.86
etsybag,etsybag_scrap8_Polygon-2,26.47,1.00,104.00,35,17.50,17.50,66.12
etsybag,etsybag_scrap8_Polygon-10,25.29,1.00,104.00,41,20.50,20.50,81.07
etsybag,etsybag_scrap8_Polygon-5,25.53,1.00,104.00,41,20.50,20.50,80.29
etsybag,etsybag_scrap8_Polygon-8,25.70,1.00,104.00,33,16.50,16.50,64.21
etsybag,etsybag_scrap2_Polygon-2,104.85,1.00,104.00,189,94.50,94.50,90.13
etsybag,etsybag_scrap2_Polygon-6,5.88,1.00,104.00,8,4.00,4.00,68.00
etsybag,etsybag_scrap2_Polygon-7,6.00,1.00,104.00,8,4.00,4.00,66.64
etsybag,etsybag_scrap2_Polygon-5,25.15,1.00,104.00,32,16.00,16.00,63.62
etsybag,etsybag_scrap2_Polygon-9,6.40,1.00,104.00,8,4.00,4.00,62.52
etsybag,etsybag_scrap2_Polygon-3,25.67,1.00,104.00,39,19.50,19.50,75.95
etsybag,etsybag_scrap2_Polygon-4,25.03,1.00,104.00,32,16.00,16.00,63.94
etsybag,etsybag_scrap2_Polygon-8,6.37,1.00,104.00,8,4.00,4.00,62.79
etsybag,etsybag_scrap5_Polygon-3,53.82,1.00,96.00,90,45.00,45.00,83.62
etsybag,etsybag_scrap5_Polygon-2,386.69,1.00,96.00,720,360.00,360.00,93.10
etsybag,etsybag_scrap5_Polygon-4,22.17,1.00,96.00,32,16.00,16.00,72.15
etsybag,etsybag_scrap6_Polygon-2,135.77,1.00,78.00,238,119.00,119.00,87.65
etsybag,etsybag_scrap6_Polygon-4,220.39,1.00,78.00,375,187.50,187.50,85.07
etsybag,etsybag_scrap6_Polygon-3,92.79,1.00,78.00,164,82.00,82.00,88.37
etsybag,etsybag_scrap9_Polygon-4,14.82,1.00,111.00,22,11.00,11.00,74.25
etsybag,etsybag_scrap9_Polygon-3,87.76,1.00,111.00,150,75.00,75.00,85.46
etsybag,etsybag_scrap9_Polygon-2,181.31,1.00,111.00,322,161.00,161.00,88.80
linen,linen_scrap2-3_Polygon6,41.49,1.00,103.00,68,34.00,34.00,81.96
linen,linen_scrap2-3_Polygon2,48.11,1.00,103.00,75,37.50,37.50,77.95
linen,linen_scrap2-3_Polygon4,59.54,1.00,103.00,110,55.00,55.00,92.37
linen,linen_scrap2-3_Polygon3,52.33,1.00,103.00,84,42.00,42.00,80.25
linen,linen_scrap2-3_Polygon5,41.40,1.00,103.00,64,32.00,32.00,77.30
linen,linen_scrap3-1_Polygon4,47.37,1.00,88.00,70,35.00,35.00,73.89
linen,linen_scrap3-1_Polygon6,39.65,1.00,88.00,64,32.00,32.00,80.70
linen,linen_scrap3-1_Polygon7,51.04,1.00,88.00,84,42.00,42.00,82.30
linen,linen_scrap3-1_Polygon2,38.22,1.00,88.00,60,30.00,30.00,78.49
linen,linen_scrap3-1_Polygon8,49.35,1.00,88.00,80,40.00,40.00,81.06
linen,linen_scrap3-1_Polygon3,33.55,1.00,88.00,50,25.00,25.00,74.51
linen,linen_scrap3-1_Polygon5,38.38,1.00,88.00,60,30.00,30.00,78.17
linen,linen_scrap2-2_Polygon9,28.82,1.00,95.00,44,22.00,22.00,76.33
linen,linen_scrap2-2_Polygon5,37.37,1.00,95.00,60,30.00,30.00,80.29
linen,linen_scrap2-2_Polygon7,30.02,1.00,95.00,49,24.50,24.50,81.60
linen,linen_scrap2-2_Polygon8,39.57,1.00,95.00,64,32.00,32.00,80.87
linen,linen_scrap2-2_Polygon3,40.22,1.00,95.00,71,35.50,35.50,88.26
linen,linen_scrap2-2_Polygon4,35.99,1.00,95.00,60,30.00,30.00,83.36
linen,linen_scrap2-2_Polygon6,29.28,1.00,95.00,50,25.00,25.00,85.37
linen,linen_scrap2-2_Polygon2,38.12,1.00,95.00,62,31.00,31.00,81.32
linen,linen_scrap1-2_Polygon3,59.54,1.00,116.00,112,56.00,56.00,94.05
linen,linen_scrap1-2_Polygon4,50.95,1.00,116.00,84,42.00,42.00,82.44
linen,linen_scrap1-2_Polygon2,52.62,1.00,116.00,92,46.00,46.00,87.41
linen,linen_scrap1-2_Polygon5,53.20,1.00,116.00,90,45.00,45.00,84.58
linen,linen_scrap1-1_Polygon4,64.21,1.00,96.00,112,56.00,56.00,87.22
linen,linen_scrap1-1_Polygon7,57.54,1.00,96.00,94,47.00,47.00,81.68
linen,linen_scrap1-1_Polygon6,62.58,1.00,96.00,112,56.00,56.00,89.48
linen,linen_scrap1-1_Polygon2,60.96,1.00,96.00,98,49.00,49.00,80.38
linen,linen_scrap1-1_Polygon5,68.38,1.00,96.00,121,60.50,60.50,88.48
linen,linen_scrap1-1_Polygon3,68.75,1.00,96.00,112,56.00,56.00,81.46
linen,linen_scrap3-2_Polygon4,22.16,1.00,106.00,35,17.50,17.50,78.96
linen,linen_scrap3-2_Polygon6,18.23,1.00,106.00,31,15.50,15.50,85.01
linen,linen_scrap3-2_Polygon3,16.37,1.00,106.00,23,11.50,11.50,70.25
linen,linen_scrap3-2_Polygon5,24.52,1.00,106.00,32,16.00,16.00,65.25
linen,linen_scrap3-2_Polygon2,14.59,1.00,106.00,21,10.50,10.50,71.97
linen,linen_scrap2-1_Polygon11,13.82,1.00,99.00,18,9.00,9.00,65.10
linen,linen_scrap2-1_Polygon10,16.73,1.00,99.00,24,12.00,12.00,71.75
linen,linen_scrap2-1_Polygon9,15.14,1.00,99.00,18,9.00,9.00,59.44
linen,linen_scrap2-1_Polygon8,14.86,1.00,99.00,18,9.00,9.00,60.56
linen,linen_scrap2-1_Polygon5,3.18,1.00,99.00,2,1.00,1.00,31.40
linen,linen_scrap2-1_Polygon2,20.51,1.00,99.00,30,15.00,15.00,73.13
linen,linen_scrap2-1_Polygon4,19.12,1.00,99.00,29,14.50,14.50,75.84
linen,linen_scrap2-1_Polygon6,7.76,1.00,99.00,8,4.00,4.00,51.52
linen,linen_scrap2-1_Polygon3,16.95,1.00,99.00,24,12.00,12.00,70.79
linen,linen_scrap2-1_Polygon7,11.46,1.00,99.00,18,9.00,9.00,78.52
linen,linen_scrap2-1_Polygon12,15.22,1.00,99.00,18,9.00,9.00,59.13
etsybag2,etsybag2_scraps1_Polygon-3,94.17,1.00,106.00,167,83.50,83.50,88.67
etsybag2,etsybag2_scraps1_Polygon-2,65.26,1.00,106.00,104,52.00,52.00,79.68
etsybag2,etsybag2_scraps1_Polygon-5,44.64,1.00,106.00,72,36.00,36.00,80.64
etsybag2,etsybag2_scraps1_Polygon-4,59.70,1.00,106.00,88,44.00,44.00,73.70
,,,,,,,,
OVERALL,,18041.40,,,29010,14505.00,,80.40
