Scrap Type,Scrap ID,Original Area (in²),Triangle Size (in),Scale (px/in),Accepted Triangles,Recovered Area (in²),Theoretical Area (in²),Recovery %
audrey,audrey_scrap3_Polygon-2,34.41,1.00,83.00,50,25.00,25.00,72.66
audrey,audrey_scrap3_Polygon-4,4.28,1.00,83.00,4,2.00,2.00,46.73
audrey,audrey_scrap3_Polygon-12,5.50,1.00,83.00,7,3.50,3.50,63.58
audrey,audrey_scrap3_Polygon-5,38.36,1.00,83.00,67,33.50,33.50,87.33
audrey,audrey_scrap3_Polygon-17,10.08,1.00,83.00,8,4.00,4.00,39.67
audrey,audrey_scrap3_Polygon-16,14.38,1.00,83.00,16,8.00,8.00,55.64
audrey,audrey_scrap3_Polygon-14,4.05,1.00,83.00,0,0.00,0.00,0.00
audrey,audrey_scrap3_Polygon-6,11.91,1.00,83.00,10,5.00,5.00,41.98
audrey,audrey_scrap3_Polygon-15,14.66,1.00,83.00,18,9.00,9.00,61.38
audrey,audrey_scrap3_Polygon-10,36.80,1.00,83.00,60,30.00,30.00,81.53
audrey,audrey_scrap3_Polygon-7,6.34,1.00,83.00,2,1.00,1.00,15.78
audrey,audrey_scrap3_Polygon-9,15.90,1.00,83.00,21,10.50,10.50,66.04
audrey,audrey_scrap3_Polygon-3,36.24,1.00,83.00,60,30.00,30.00,82.79
audrey,audrey_scrap3_Polygon-11,16.14,1.00,83.00,19,9.50,9.50,58.85
audrey,audrey_scrap3_Polygon-8,37.85,1.00,83.00,60,30.00,30.00,79.25
audrey,audrey_scrap3_Polygon-13,5.86,1.00,83.00,6,3.00,3.00,51.15
audrey,audrey_scrap7_Polygon-8,11.70,1.00,91.00,10,5.00,5.00,42.73
audrey,audrey_scrap7_Polygon-15,11.70,1.00,91.00,10,5.00,5.00,42.73
audrey,audrey_scrap7_Polygon-12,12.50,1.00,91.00,24,12.00,12.00,96.01
audrey,audrey_scrap7_Polygon-3,11.28,1.00,91.00,10,5.00,5.00,44.33
audrey,audrey_scrap7_Polygon-17,11.47,1.00,91.00,11,5.50,5.50,47.97
audrey,audrey_scrap7_Polygon-6,11.63,1.00,91.00,10,5.00,5.00,42.99
audrey,audrey_scrap7_Polygon-2,11.74,1.00,91.00,10,5.00,5.00,42.61
audrey,audrey_scrap7_Polygon-9,12.69,1.00,91.00,12,6.00,6.00,47.29
audrey,audrey_scrap7_Polygon-4,11.84,1.00,91.00,11,5.50,5.50,46.44
audrey,audrey_scrap7_Polygon-18,12.40,1.00,91.00,10,5.00,5.00,40.34
audrey,audrey_scrap7_Polygon-5,11.80,1.00,91.00,10,5.00,5.00,42.37
audrey,audrey_scrap7_Polygon-11,12.17,1.00,91.00,12,6.00,6.00,49.30
audrey,audrey_scrap7_Polygon-19,11.17,1.00,91.00,11,5.50,5.50,49.23
audrey,audrey_scrap7_Polygon-10,12.03,1.00,91.00,12,6.00,6.00,49.88
audrey,audrey_scrap7_Polygon-7,11.63,1.00,91.00,10,5.00,5.00,43.01
audrey,audrey_scrap7_Polygon-21,13.32,1.00,91.00,21,10.50,10.50,78.82
audrey,audrey_scrap7_Polygon-14,11.36,1.00,91.00,11,5.50,5.50,48.44
audrey,audrey_scrap7_Polygon-22,12.79,1.00,91.00,14,7.00,7.00,54.72
audrey,audrey_scrap7_Polygon-20,12.89,1.00,91.00,12,6.00,6.00,46.55
audrey,audrey_scrap7_Polygon-16,11.51,1.00,91.00,11,5.50,5.50,47.77
audrey,audrey_scrap7_Polygon-13,12.01,1.00,91.00,12,6.00,6.00,49.95
audrey,audrey_scrap6_Polygon-5,62.33,1.00,81.00,104,52.00,52.00,83.43
audrey,audrey_scrap6_Polygon-2,129.14,1.00,81.00,219,109.50,109.50,84.79
audrey,audrey_scrap6_Polygon-4,48.07,1.00,81.00,80,40.00,40.00,83.20
audrey,audrey_scrap6_Polygon-3,200.52,1.00,81.00,344,172.00,172.00,85.78
audrey,audrey_scrap6_Polygon-7,15.70,1.00,81.00,24,12.00,12.00,76.43
audrey,audrey_scrap6_Polygon-6,13.85,1.00,81.00,12,6.00,6.00,43.32
oren,oren_scrap2_Polygon-14,0.87,1.00,97.00,0,0.00,0.00,0.00
oren,oren_scrap2_Polygon-23,3.40,1.00,97.00,3,1.50,1.50,44.07
oren,oren_scrap2_Polygon-13,3.09,1.00,97.00,2,1.00,1.00,32.32
oren,oren_scrap2_Polygon-16,4.44,1.00,97.00,1,0.50,0.50,11.26
oren,oren_scrap2_Polygon-27,17.60,1.00,97.00,26,13.00,13.00,73.87
oren,oren_scrap2_Polygon-20,1.10,1.00,97.00,0,0.00,0.00,0.00
oren,oren_scrap2_Polygon-26,5.11,1.00,97.00,5,2.50,2.50,48.95
oren,oren_scrap2_Polygon-22,2.43,1.00,97.00,1,0.50,0.50,20.54
oren,oren_scrap2_Polygon-2,14.82,1.00,97.00,23,11.50,11.50,77.58
oren,oren_scrap2_Polygon-6,7.09,1.00,97.00,9,4.50,4.50,63.48
oren,oren_scrap2_Polygon-7,2.70,1.00,97.00,0,0.00,0.00,0.00
oren,oren_scrap2_Polygon-10,40.30,1.00,97.00,64,32.00,32.00,79.40
oren,oren_scrap2_Polygon-5,2.27,1.00,97.00,2,1.00,1.00,44.00
