scrap_id,rectangularity,recovery_percentage,original_area_in2
bag1_scrap2_Polygon-5,0.9837,81.53,34.96
bag1_scrap2_Polygon-3,0.9878,79.36,98.29
bag1_scrap2_Polygon-4,0.9878,83.98,44.65
bag1_scrap6_Polygon-5,0.9870,86.76,187.29
bag1_scrap6_Polygon-2,0.9969,85.33,159.39
bag1_scrap6_Polygon-4,0.9480,85.51,88.88
bag1_scrap6_Polygon-3,0.9867,78.51,43.94
bag1_scrap7_Polygon-3,0.9945,89.18,107.64
bag1_scrap7_Polygon-6,0.9886,82.64,62.32
bag1_scrap7_Polygon-2,0.8354,81.80,151.59
bag1_scrap7_Polygon-4,0.9682,77.56,36.10
bag1_scrap7_Polygon-5,0.9960,84.15,33.28
bag1_scrap7_Polygon-7,0.9508,79.39,79.36
bag1_scrap10_Polygon-3,0.6135,83.26,97.29
bag1_scrap10_Polygon-4,0.7735,79.44,181.27
bag1_scrap10_Polygon-2,0.9978,84.47,118.38
bag4_scrap1_Polygon-2,0.9645,87.28,162.70
bag4_scrap1_Polygon-4,0.4651,84.34,94.26
bag4_scrap1_Polygon-3,0.9878,91.00,129.12
bag4_scrap4_Polygon-2,0.8564,80.92,141.51
bag4_scrap4_Polygon-3,0.9943,89.71,267.52
bag4_scrap3_Polygon-2,0.7199,74.22,26.95
bag4_scrap3_Polygon-4,0.7205,70.21,27.06
bag4_scrap3_Polygon-12,0.7141,72.18,27.02
bag4_scrap3_Polygon-5,0.7327,74.67,28.12
bag4_scrap3_Polygon-14,0.7373,70.94,27.49
bag4_scrap3_Polygon-6,0.9431,83.83,224.25
bag4_scrap3_Polygon-10,0.9926,84.00,29.76
bag4_scrap3_Polygon-7,0.9642,78.58,87.81
bag4_scrap3_Polygon-9,0.7339,69.91,27.18
bag4_scrap3_Polygon-3,0.7380,73.90,26.39
bag4_scrap3_Polygon-11,0.9953,82.55,29.68
bag4_scrap3_Polygon-8,0.7388,76.96,27.94
bag4_scrap3_Polygon-13,0.7126,67.31,26.74
bag4_scrap5_Polygon-5,0.9868,78.32,43.41
bag4_scrap5_Polygon-3,0.9650,90.35,189.82
bag4_scrap5_Polygon-2,0.9949,75.77,141.21
bag4_scrap5_Polygon-4,0.9706,70.67,45.28
bag4_scrap2_Polygon-2,0.9849,93.23,263.34
bag4_scrap2_Polygon-3,0.8161,80.00,178.12
bag4_scrap6_Polygon-5,0.9707,81.73,36.09
bag4_scrap6_Polygon-2,0.9908,92.21,221.22
bag4_scrap6_Polygon-4,0.9836,85.99,43.03
bag4_scrap6_Polygon-3,0.9623,77.45,58.11
bag4_scrap6_Polygon-7,0.6243,75.29,39.85
bag4_scrap6_Polygon-6,0.9702,80.62,34.73
bag4_scrap7_Polygon-3,0.8309,81.87,91.00
bag4_scrap7_Polygon-2,0.8452,88.13,171.33
bag4_scrap7_Polygon-4,0.9788,82.77,72.49
bag4_scrap7_Polygon-5,0.9491,87.40,228.26
bag4_scrap9_Polygon-3,0.9676,82.73,205.48
bag4_scrap9_Polygon-2,0.7286,87.18,150.83
bag4_scrap8_Polygon-2,0.9855,91.24,507.45
etsybag_scrap10_Polygon-11,0.9878,62.66,6.38
etsybag_scrap10_Polygon-22,0.9604,62.94,6.35
etsybag_scrap10_Polygon-5,0.9747,70.30,5.69
etsybag_scrap10_Polygon-14,0.9959,66.83,5.99
etsybag_scrap10_Polygon-19,0.9815,68.57,11.67
etsybag_scrap10_Polygon-10,0.9529,64.40,6.21
etsybag_scrap10_Polygon-18,0.9800,70.73,11.31
etsybag_scrap10_Polygon-9,0.9281,65.68,5.33
etsybag_scrap10_Polygon-28,0.9866,65.87,6.07
etsybag_scrap10_Polygon-3,0.9509,61.78,6.47
etsybag_scrap10_Polygon-24,0.9674,62.86,6.36
etsybag_scrap10_Polygon-27,0.9978,65.30,6.13
etsybag_scrap10_Polygon-32,0.9433,65.40,9.17
etsybag_scrap10_Polygon-17,0.9855,61.35,6.52
etsybag_scrap10_Polygon-21,0.9650,64.54,6.20
etsybag_scrap10_Polygon-25,0.9759,63.76,6.27
etsybag_scrap10_Polygon-15,0.9866,67.48,5.93
etsybag_scrap10_Polygon-12,0.9626,67.32,5.94
etsybag_scrap10_Polygon-4,0.9507,60.70,6.59
etsybag_scrap10_Polygon-2,0.9630,69.84,5.73
etsybag_scrap10_Polygon-8,0.9625,67.81,5.90
etsybag_scrap10_Polygon-6,0.9756,68.70,5.82
etsybag_scrap10_Polygon-30,0.9779,67.09,5.96
etsybag_scrap10_Polygon-20,0.9733,68.25,5.86
etsybag_scrap10_Polygon-23,0.9534,63.75,6.27
etsybag_scrap10_Polygon-7,0.9737,68.99,5.80
etsybag_scrap10_Polygon-31,0.9517,58.77,9.36
etsybag_scrap10_Polygon-13,0.9824,67.75,5.90
etsybag_scrap10_Polygon-16,0.9694,63.34,6.31
etsybag_scrap10_Polygon-29,0.9524,57.91,6.91
etsybag_scrap10_Polygon-26,0.9406,67.94,5.89
etsybag_scrap1_Polygon-2,0.9828,62.29,6.42
etsybag_scrap1_Polygon-7,0.9876,78.65,25.43
etsybag_scrap1_Polygon-4,0.9701,64.54,6.20
etsybag_scrap1_Polygon-6,0.9547,63.33,6.32
etsybag_scrap1_Polygon-3,0.9915,63.45,12.61
etsybag_scrap1_Polygon-5,0.9783,66.45,6.02
etsybag_scrap1_Polygon-8,0.8731,49.95,15.01
etsybag_scrap4_Polygon-2,0.9678,88.40,195.15
etsybag_scrap4_Polygon-3,0.9575,82.00,53.05
etsybag_scrap4_Polygon-5,0.8628,78.81,152.26
etsybag_scrap4_Polygon-4,0.7926,77.77,147.23
etsybag_scrap7_Polygon-8,0.9361,84.58,59.71
etsybag_scrap7_Polygon-3,0.9823,80.18,39.91
etsybag_scrap7_Polygon-6,0.9683,80.55,44.69
etsybag_scrap7_Polygon-2,0.9793,68.94,5.80
etsybag_scrap7_Polygon-4,0.8960,62.36,12.83
etsybag_scrap7_Polygon-5,0.9844,88.19,76.54
etsybag_scrap7_Polygon-7,0.9754,77.90,41.08
etsybag_scrap3_Polygon-2,0.9819,55.74,34.08
etsybag_scrap3_Polygon-4,0.9249,78.11,44.81
etsybag_scrap3_Polygon-5,0.8461,76.46,33.35
etsybag_scrap3_Polygon-6,0.9516,70.36,21.32
etsybag_scrap3_Polygon-7,0.9340,88.43,78.03
etsybag_scrap3_Polygon-3,0.9920,72.58,41.33
etsybag_scrap8_Polygon-6,0.9932,64.23,24.91
etsybag_scrap8_Polygon-9,0.9894,63.32,25.27
etsybag_scrap8_Polygon-3,0.9896,64.58,25.55
etsybag_scrap8_Polygon-7,0.9852,62.30,25.68
etsybag_scrap8_Polygon-4,0.9899,93.86,26.64
etsybag_scrap8_Polygon-2,0.9943,66.12,26.47
etsybag_scrap8_Polygon-10,0.9793,81.07,25.29
etsybag_scrap8_Polygon-5,0.9906,80.29,25.53
etsybag_scrap8_Polygon-8,0.9945,64.21,25.70
etsybag_scrap2_Polygon-2,0.9634,90.13,104.85
etsybag_scrap2_Polygon-6,0.9241,68.00,5.88
etsybag_scrap2_Polygon-7,0.9305,66.64,6.00
etsybag_scrap2_Polygon-5,0.9905,63.62,25.15
etsybag_scrap2_Polygon-9,0.9604,62.52,6.40
etsybag_scrap2_Polygon-3,0.9813,75.95,25.67
etsybag_scrap2_Polygon-4,0.9952,63.94,25.03
etsybag_scrap2_Polygon-8,0.9818,62.79,6.37
etsybag_scrap5_Polygon-3,0.9799,83.62,53.82
etsybag_scrap5_Polygon-2,0.9657,93.10,386.69
etsybag_scrap5_Polygon-4,0.9740,72.15,22.17
etsybag_scrap6_Polygon-2,0.9581,87.65,135.77
etsybag_scrap6_Polygon-4,0.9411,85.07,220.39
etsybag_scrap6_Polygon-3,0.9168,88.37,92.79
etsybag_scrap9_Polygon-4,0.7941,74.25,14.82
etsybag_scrap9_Polygon-3,0.9642,85.46,87.76
etsybag_scrap9_Polygon-2,0.9733,88.80,181.31
linen_scrap2-3_Polygon6,0.9752,81.96,41.49
linen_scrap2-3_Polygon2,0.9330,77.95,48.11
linen_scrap2-3_Polygon4,0.9791,92.37,59.54
linen_scrap2-3_Polygon3,0.9774,80.25,52.33
linen_scrap2-3_Polygon5,0.9865,77.30,41.40
linen_scrap3-1_Polygon4,0.9363,73.89,47.37
linen_scrap3-1_Polygon6,0.9566,80.70,39.65
linen_scrap3-1_Polygon7,0.9562,82.30,51.04
linen_scrap3-1_Polygon2,0.9275,78.49,38.22
